application,tx_id,currency,account,asset,ticker,type,crypto_amount,fiat_amount,comission_amount,note,date,time
MEXC,b45b2bb47bfd47c6a26d0f7a4cc39f28,USD,USD,ETH,ETH,Sell,0.00963,22.9372155,0.0,,2024-02-06,21:12:45
MEXC,b45b2bb47bfd47c6a26d0f7a4cc39f28,USD,USD,USDT,USDT,Buy,22.9372155,22.9372155,0.0,,2024-02-06,21:12:45
MEXC,44be771b354f4be7955597250f4fbf5c,USD,USD,USDT,USDT,Sell,271.26008897,271.26008897,0.0,,2024-02-07,20:57:21
MEXC,44be771b354f4be7955597250f4fbf5c,USD,USD,KAS,KAS,Buy,2290.99,271.26008897,0.0,,2024-02-07,20:57:21
MEXC,801cb0b17bae47c19e10130197f4053c,USD,USD,USDT,USDT,Sell,99.875076,99.875076,0.0,,2024-02-10,17:54:23
MEXC,801cb0b17bae47c19e10130197f4053c,USD,USD,MINA,MINA,Buy,76.02,99.875076,0.0,,2024-02-10,17:54:23
MEXC,661bd49ca57a49d1a61298343045c878,USD,USD,ZEPH,ZEPH,Sell,0.5,10.782,0.0,,2024-02-21,14:47:31
MEXC,661bd49ca57a49d1a61298343045c878,USD,USD,USDT,USDT,Buy,10.782,10.782,0.0,,2024-02-21,14:47:31
MEXC,a2d68568d17d4cd4949d13c924039941,USD,USD,USDT,USDT,Sell,2428.67484,2428.67484,0.0,,2024-02-07,20:55:42
MEXC,a2d68568d17d4cd4949d13c924039941,USD,USD,ALPH,ALPH,Buy,1073.4,2428.67484,0.0,,2024-02-07,20:55:42
MEXC,cb408d93cda44b8194e4447f407fddc8,USD,USD,USDT,USDT,Sell,22.9373118,22.9373118,0.0,,2024-02-06,21:10:58
MEXC,cb408d93cda44b8194e4447f407fddc8,USD,USD,ETH,ETH,Buy,0.00963,22.9373118,0.0,,2024-02-06,21:10:58
MEXC,0ef73a6feb9a45e1b91cb068d523c523,USD,USD,USDT,USDT,Sell,800.19533642,800.19533642,0.0,,2024-02-07,20:57:21
MEXC,0ef73a6feb9a45e1b91cb068d523c523,USD,USD,KAS,KAS,Buy,6756.01,800.19533642,0.0,,2024-02-07,20:57:21
MEXC,f70184d9a0f9412582bc909f4b889478,USD,USD,MINA,MINA,Sell,6.25,7.255,0.0,,2024-02-05,19:31:16
MEXC,f70184d9a0f9412582bc909f4b889478,USD,USD,USDT,USDT,Buy,7.255,7.255,0.0,,2024-02-05,19:31:16
MEXC,5bfdfd54dc1644f781155827a0b4b42b,USD,USD,ZEPH,ZEPH,Sell,0.5,10.7875,0.0,,2024-02-21,14:47:31
MEXC,5bfdfd54dc1644f781155827a0b4b42b,USD,USD,USDT,USDT,Buy,10.7875,10.7875,0.0,,2024-02-21,14:47:31
MEXC,8127680467d94443a3571c58f22ef48e,USD,USD,USDT,USDT,Sell,55.691328,55.691328,0.0,,2024-02-07,20:55:42
MEXC,8127680467d94443a3571c58f22ef48e,USD,USD,ALPH,ALPH,Buy,24.64,55.691328,0.0,,2024-02-07,20:55:42
MEXC,968c2ee31911479caf6134df3c3b3cdf,USD,USD,USDT,USDT,Sell,99.99988788,99.99988788,0.0,,2024-02-07,13:29:59
MEXC,968c2ee31911479caf6134df3c3b3cdf,USD,USD,KAS,KAS,Buy,908.52,99.99988788,0.0,,2024-02-07,13:29:59
MEXC,5e7e9c6ffa8d4b3980a731edbefb4013,USD,USD,MINA,MINA,Sell,7.27,8.608407,0.0,,2024-02-05,19:31:16
MEXC,5e7e9c6ffa8d4b3980a731edbefb4013,USD,USD,USDT,USDT,Buy,8.608407,8.608407,0.0,,2024-02-05,19:31:16
MEXC,4cdd7b11830e4eb0825cc4faa91d7f88,USD,USD,ZEPH,ZEPH,Sell,0.1,2.1562,0.0,,2024-02-21,14:47:31
MEXC,4cdd7b11830e4eb0825cc4faa91d7f88,USD,USD,USDT,USDT,Buy,2.1562,2.1562,0.0,,2024-02-21,14:47:31
MEXC,3b46367506fa43f5be3a24b025a32db0,USD,USD,USDT,USDT,Sell,180.804173,180.804173,0.0,,2024-02-07,20:55:42
MEXC,3b46367506fa43f5be3a24b025a32db0,USD,USD,ALPH,ALPH,Buy,79.97,180.804173,0.0,,2024-02-07,20:55:42
MEXC,44abb2c65df049a6a4b0ee638bbbd639,USD,USD,MINA,MINA,Sell,21.58,25.0328,0.0,,2024-02-05,19:31:16
MEXC,44abb2c65df049a6a4b0ee638bbbd639,USD,USD,USDT,USDT,Buy,25.0328,25.0328,0.0,,2024-02-05,19:31:16
MEXC,3a2324e81e1b4d898a39896ce08ade9c,USD,USD,ZEPH,ZEPH,Sell,0.5,10.781,0.0,,2024-02-21,14:47:31
MEXC,3a2324e81e1b4d898a39896ce08ade9c,USD,USD,USDT,USDT,Buy,10.781,10.781,0.0,,2024-02-21,14:47:31
MEXC,168460637d5b4235a32aa52ff0ab0d27,USD,USD,USDT,USDT,Sell,12.983306,12.983306,0.0,,2024-02-07,20:55:42
MEXC,168460637d5b4235a32aa52ff0ab0d27,USD,USD,ALPH,ALPH,Buy,5.74,12.983306,0.0,,2024-02-07,20:55:42
MEXC,3a1e891caaa94b899605ddc9bde97215,USD,USD,MINA,MINA,Sell,5.72,6.706128,0.0,,2024-02-05,19:31:16
MEXC,3a1e891caaa94b899605ddc9bde97215,USD,USD,USDT,USDT,Buy,6.706128,6.706128,0.0,,2024-02-05,19:31:16
MEXC,2f336869a6ac4e1cb51a801c58453f2e,USD,USD,ZEPH,ZEPH,Sell,0.5,10.7875,0.0,,2024-02-21,14:47:31
MEXC,2f336869a6ac4e1cb51a801c58453f2e,USD,USD,USDT,USDT,Buy,10.7875,10.7875,0.0,,2024-02-21,14:47:31
MEXC,0ee3e1ee98e04e8a9ad884bde408b63e,USD,USD,ZEPH,ZEPH,Sell,0.5,10.7815,0.0,,2024-02-21,14:47:31
MEXC,0ee3e1ee98e04e8a9ad884bde408b63e,USD,USD,USDT,USDT,Buy,10.7815,10.7815,0.0,,2024-02-21,14:47:31
MEXC,d457f9cda60c4d17a09e64c9b51b3b31,USD,USD,USDT,USDT,Sell,52.72981,52.72981,0.0,,2024-02-17,09:36:09
MEXC,d457f9cda60c4d17a09e64c9b51b3b31,USD,USD,ZEPH,ZEPH,Buy,2.59,52.72981,0.0,,2024-02-17,09:36:09
MEXC,9a4eadb8b0474ddbbd8774d0d705fa33,USD,USD,USDT,USDT,Sell,10.78921,10.78921,0.0,,2024-02-17,09:36:09
MEXC,9a4eadb8b0474ddbbd8774d0d705fa33,USD,USD,ZEPH,ZEPH,Buy,0.53,10.78921,0.0,,2024-02-17,09:36:09
MEXC,2e85de63e46a46af849f096b9e3a7917,USD,USD,USDT,USDT,Sell,12.94464,12.94464,0.0,,2024-02-17,09:36:09
MEXC,2e85de63e46a46af849f096b9e3a7917,USD,USD,ZEPH,ZEPH,Buy,0.64,12.94464,0.0,,2024-02-17,09:36:09
MEXC,076b344810624628bd4707be944d5880,USD,USD,USDT,USDT,Sell,10.78921,10.78921,0.0,,2024-02-17,09:36:09
MEXC,076b344810624628bd4707be944d5880,USD,USD,ZEPH,ZEPH,Buy,0.53,10.78921,0.0,,2024-02-17,09:36:09
MEXC,7ba9516ea3514547b31ed453bb5592b0,USD,USD,USDT,USDT,Sell,99.99447,99.99447,0.0,,2024-02-23,15:03:03
MEXC,7ba9516ea3514547b31ed453bb5592b0,USD,USD,CAKE,CAKE,Buy,30.57,99.99447,0.0,,2024-02-23,15:03:03
MEXC,50f5ea67e46d4badae06e420033ea9f1,USD,USD,AZERO,AZERO,Sell,61.87,83.611118,0.0,,2024-02-21,14:45:14
MEXC,50f5ea67e46d4badae06e420033ea9f1,USD,USD,USDT,USDT,Buy,83.611118,83.611118,0.0,,2024-02-21,14:45:14
MEXC,2c4455983d2f48fcb99a9f47a813c0ca,USD,USD,AZERO,AZERO,Sell,18.96,25.58652,0.0,,2024-02-21,14:45:14
MEXC,2c4455983d2f48fcb99a9f47a813c0ca,USD,USD,USDT,USDT,Buy,25.58652,25.58652,0.0,,2024-02-21,14:45:14
MEXC,af157ba7d96f4a66bcd4a762e8e60dd5,USD,USD,USDT,USDT,Sell,99.994793,99.994793,0.0,,2024-02-12,20:39:22
MEXC,af157ba7d96f4a66bcd4a762e8e60dd5,USD,USD,AZERO,AZERO,Buy,80.83,99.994793,0.0,,2024-02-12,20:39:22
MEXC,c7c7b9625c5342ebab7275606aa76728,USD,USD,USDT,USDT,Sell,19.82464,19.82464,0.0,,2024-02-17,21:06:22
MEXC,c7c7b9625c5342ebab7275606aa76728,USD,USD,TRIAS,TRIAS,Buy,1.28,19.82464,0.0,,2024-02-17,21:06:22
MEXC,6a9ce0f47da8449faeb40d3d6d082a57,USD,USD,USDT,USDT,Sell,80.07813,80.07813,0.0,,2024-02-17,21:06:22
MEXC,6a9ce0f47da8449faeb40d3d6d082a57,USD,USD,TRIAS,TRIAS,Buy,5.17,80.07813,0.0,,2024-02-17,21:06:22
MEXC,f5d780a702974fb3bad2d3f7137f6b05,USD,USD,ONDO,ONDO,Sell,145.62,44.9980362,0.0,,2024-02-21,14:45:00
MEXC,f5d780a702974fb3bad2d3f7137f6b05,USD,USD,USDT,USDT,Buy,44.9980362,44.9980362,0.0,,2024-02-21,14:45:00
MEXC,aa8198ff974d419892d5aafb5134cf43,USD,USD,ONDO,ONDO,Sell,254.46,78.62814,0.0,,2024-02-21,14:45:00
MEXC,aa8198ff974d419892d5aafb5134cf43,USD,USD,USDT,USDT,Buy,78.62814,78.62814,0.0,,2024-02-21,14:45:00
MEXC,c6e9eb4f01c840a38ae0fb3def1b8d58,USD,USD,ONDO,ONDO,Sell,39.83,9.9985249,0.0,,2024-02-17,21:06:00
MEXC,c6e9eb4f01c840a38ae0fb3def1b8d58,USD,USD,USDT,USDT,Buy,9.9985249,9.9985249,0.0,,2024-02-17,21:06:00
MEXC,be93e6db9d91496ab68c4ed6e77af5b7,USD,USD,ONDO,ONDO,Sell,397.63,99.6898173,0.0,,2024-02-17,21:06:00
MEXC,be93e6db9d91496ab68c4ed6e77af5b7,USD,USD,USDT,USDT,Buy,99.6898173,99.6898173,0.0,,2024-02-17,21:06:00
MEXC,6574136e96d14605a818e908a638d26b,USD,USD,ONDO,ONDO,Sell,33.2,8.31162,0.0,,2024-02-17,21:06:00
MEXC,6574136e96d14605a818e908a638d26b,USD,USD,USDT,USDT,Buy,8.31162,8.31162,0.0,,2024-02-17,21:06:00
MEXC,8b80e0f862eb469e91ca55a4fa8f781f,USD,USD,ONDO,ONDO,Sell,79.61,19.9685763,0.0,,2024-02-17,21:05:03
MEXC,8b80e0f862eb469e91ca55a4fa8f781f,USD,USD,USDT,USDT,Buy,19.9685763,19.9685763,0.0,,2024-02-17,21:05:03
MEXC,7ad204bd9e834255a8c8c315d845bf9e,USD,USD,ONDO,ONDO,Sell,43.78,10.9817752,0.0,,2024-02-17,21:05:03
MEXC,7ad204bd9e834255a8c8c315d845bf9e,USD,USD,USDT,USDT,Buy,10.9817752,10.9817752,0.0,,2024-02-17,21:05:03
MEXC,0275fefa0ee34614a30a597572369231,USD,USD,ONDO,ONDO,Sell,26.61,6.6743202,0.0,,2024-02-17,21:05:03
MEXC,0275fefa0ee34614a30a597572369231,USD,USD,USDT,USDT,Buy,6.6743202,6.6743202,0.0,,2024-02-17,21:05:03
MEXC,f633a866a05843c1ae926f40dc51ecdf,USD,USD,USDT,USDT,Sell,199.1860884,199.1860884,0.0,,2024-02-11,20:52:09
MEXC,f633a866a05843c1ae926f40dc51ecdf,USD,USD,ONDO,ONDO,Buy,813.27,199.1860884,0.0,,2024-02-11,20:52:09
MEXC,ea8b338c2eb94036baf608a8247bf635,USD,USD,USDT,USDT,Sell,25.5881968,25.5881968,0.0,,2024-02-11,20:52:09
MEXC,ea8b338c2eb94036baf608a8247bf635,USD,USD,ONDO,ONDO,Buy,104.48,25.5881968,0.0,,2024-02-11,20:52:09
MEXC,3bcba5f2ad12458bbc44ff36c83f2b3d,USD,USD,USDT,USDT,Sell,25.2243108,25.2243108,0.0,,2024-02-11,20:52:09
